bill_id,session_id,bill_number,status,status_desc,status_date,title,description,committee_id,committee,last_action_date,last_action,url,state_link
1385576,1791,AB1,2,Engrossed,2021-05-27,"Hazardous waste.","An act to amend Sections 6103.10 and 11553 of the Government Code, to amend Sections 25160, 25175, 25178.1, 25200, 25200.8, 25201.6, 25205, 25205.2, 25205.5, 25205.5.1, 25205.7, 25205.12, 25205.16, 25205.21, 25205.22, 25207.12, and 25250.24 of, to amend, repeal, and add Section 25174 of, to add Sections 25110.2.1, 25174.01, 25174.02, 25187.3, 25200.05, 25200.25, 25200.27, 25246.1, 25246.2, and 25355.3 to, to add Article 2.1 (commencing with Section 25125) to Chapter 6.5 of Division 20 of, to add and repeal Section 25205.5.01 of, to add and repeal Article 3.1 (commencing with Section 25133) of Chapter 6.5 of Division 20 of, to repeal Sections 25174.1, 25174.2, 25174.6, 25174.7, 25174.11, 25205.3, 25205.4, 25205.9, 25205.14, 25205.15, and 25205.20 of, and to repeal and add Section 25135.9 of, the Health and Safety Code, and to amend Sections 43002.3, 43012, 43101, 43152, 43152.7, and 43152.15 of, and to repeal Sections 43005.5, 43051, 43055, 43151, 43152.11, and 43152.16 of, the Revenue and Taxation Code, relating to hazardous waste.",478,"Senate Environmental Quality",2021-06-09,"Referred to Coms. on E.Q. and JUD.",https://legiscan.com/CA/bill/AB1/2021,http://leginfo.legislature.ca.gov/faces/billStatusClient.xhtml?bill_id=202120220AB1
1385592,1791,AB2,1,Introduced,2020-12-07,"Regulations: legislative review: regulatory reform.","An act to amend Sections 11343.4 and 11349.3 of, and to add and repeal Chapter 3.6 (commencing with Section 11366) of Part 1 of Division 3 of Title 2 of, the Government Code, relating to state government.",0,,2021-05-20,"In committee: Held under submission.",https://legiscan.com/CA/bill/AB2/2021,http://leginfo.legislature.ca.gov/faces/billStatusClient.xhtml?bill_id=202120220AB2
1385588,1791,AB3,4,Passed,2021-10-07,"Exhibition of speed on a highway: punishment.","An act to amend Sections 13352 and 23109 of the Vehicle Code, relating to vehicles.",0,,2021-10-07,"Chaptered by Secretary of State - Chapter 611, Statutes of 2021.",https://legiscan.com/CA/bill/AB3/2021,http://leginfo.legislature.ca.gov/faces/billStatusClient.xhtml?bill_id=202120220AB3
1385528,1791,AB4,2,Engrossed,2021-06-01,"Medi-Cal: eligibility.","An act to amend Section 14007.8 of the Welfare and Institutions Code, relating to Medi-Cal.",0,,2021-08-26,"In committee: Held under submission.",https://legiscan.com/CA/bill/AB4/2021,http://leginfo.legislature.ca.gov/faces/billStatusClient.xhtml?bill_id=202120220AB4
1385411,1791,AB5,1,Introduced,2020-12-07,"Greenhouse Gas Reduction Fund: High-Speed Rail Authority: K–12 education: transfer.","An act to amend Section 39719 of the Health and Safety Code, relating to the Greenhouse Gas Reduction Fund.",471,"Assembly Transportation",2021-03-18,"Re-referred to Com. on TRANS.",https://legiscan.com/CA/bill/AB5/2021,http://leginfo.legislature.ca.gov/faces/billStatusClient.xhtml?bill_id=202120220AB5
1385584,1791,AB6,1,Introduced,2020-12-07,"Health facilities: pandemics and emergencies: best practices.","An act to add Section 1257.3 to the Health and Safety Code, relating to health facilities.",0,,2021-05-20,"In committee: Held under submission.",https://legiscan.com/CA/bill/AB6/2021,http://leginfo.legislature.ca.gov/faces/billStatusClient.xhtml?bill_id=202120220AB6
1385400,1791,AB7,5,Vetoed,2021-10-04,"Emergency ambulance employees: multithreat body protective gear.","An act to add Section 6414 to the Labor Code, relating to emergency ambulance employees.",0,,2021-10-04,"Vetoed by Governor.",https://legiscan.com/CA/bill/AB7/2021,http://leginfo.legislature.ca.gov/faces/billStatusClient.xhtml?bill_id=202120220AB7
1385515,1791,AB8,1,Introduced,2020-12-07,"Unemployment benefits: direct deposit.","An act to amend Section 1339.1 of the Unemployment Insurance Code, relating to unemployment insurance, and declaring the urgency thereof, to take effect immediately.",461,"Assembly Insurance",2021-01-11,"Referred to Com. on INS.",https://legiscan.com/CA/bill/AB8/2021,http://leginfo.legislature.ca.gov/faces/billStatusClient.xhtml?bill_id=202120220AB8
1385399,1791,AB9,4,Passed,2021-09-23,"Fire safety and prevention: wildfires: fire adapted communities: Office of the State Fire Marshal: community wildfire preparedness and mitigation.","An act to amend Sections 8654.4, 51177, 51178, 51178.5, 51179, 51181, 51182, and 65302 of the Government Code, to amend Section 13108.5 of the Health and Safety Code, to amend Sections 702, 4202, 4203, 4204, and 4291 of, to add Section 4124.8 to, to add Articles 11 (commencing with Section 4208) and 12 (commencing with Section 4209) to Chapter 1 of Part 2 of Division 4 of, and to repeal Section 4209.3 of, the Public Resources Code, and to amend Section 8386.3 of the Public Utilities Code, relating to fire safety.",0,,2021-09-23,"Chaptered by Secretary of State - Chapter 225, Statutes of 2021.",https://legiscan.com/CA/bill/AB9/2021,http://leginfo.legislature.ca.gov/faces/billStatusClient.xhtml?bill_id=202120220AB9
1385452,1791,AB10,1,Introduced,2020-12-07,"Pupil instruction: in-person instruction: distance learning.","An act to amend Sections 43502, 43503, and 43504 of the Education Code, relating to pupil instruction, and declaring the urgency thereof, to take effect immediately.",455,"Assembly Education",2021-01-27,"In committee: Set, first hearing. Hearing canceled at the request of author.",https://legiscan.com/CA/bill/AB10/2021,http://leginfo.legislature.ca.gov/faces/billStatusClient.xhtml?bill_id=202120220AB10
1385510,1791,AB11,1,Introduced,2020-12-07,"Climate change: regional climate change authorities.","An act to add Part 3.6.5 (commencing with Section 71140) to Division 34 of the Public Resources Code, relating to climate change.",466,"Assembly Natural Resources",2021-01-25,"Re-referred to Com. on NAT. RES.",https://legiscan.com/CA/bill/AB11/2021,http://leginfo.legislature.ca.gov/faces/billStatusClient.xhtml?bill_id=202120220AB11
1385518,1791,AB12,4,Passed,2021-10-05,"Personal information: social security numbers: the Employment Development Department.","An act to amend Section 11019.7 of the Government Code, relating to state government, and declaring the urgency thereof, to take effect immediately.",0,,2021-10-05,"Chaptered by Secretary of State - Chapter 509, Statutes of 2021.",https://legiscan.com/CA/bill/AB12/2021,http://leginfo.legislature.ca.gov/faces/billStatusClient.xhtml?bill_id=202120220AB12
1385509,1791,AB13,2,Engrossed,2021-06-01,"Public contracts: automated decision systems.","An act to add Chapter 3.3 (commencing with Section 12114) to Part 2 of Division 2 of, and to add and repeal Section 12115.4 of, the Public Contract Code, relating to automatic decision systems.",0,,2021-08-26,"In committee: Held under submission.",https://legiscan.com/CA/bill/AB13/2021,http://leginfo.legislature.ca.gov/faces/billStatusClient.xhtml?bill_id=202120220AB13
1385583,1791,AB14,4,Passed,2021-10-08,"Communications: California Advanced Services Fund: deaf and disabled telecommunications program: surcharges.","An act to amend Sections 285, 914.7, and 2881 of, and to add Sections 281.1 and 884.2 to, the Public Utilities Code, relating to communications, and declaring the urgency thereof, to take effect immediately.",0,,2021-10-08,"Chaptered by Secretary of State - Chapter 658, Statutes of 2021.",https://legiscan.com/CA/bill/AB14/2021,http://leginfo.legislature.ca.gov/faces/billStatusClient.xhtml?bill_id=202120220AB14
1385413,1791,AB15,1,Introduced,2020-12-07,"COVID-19 relief: tenancy: Tenant Stabilization Act of 2021.","An act to amend Sections 789.4, 798.56, 1942.5, and 2924.15 of, and to add Sections 1785.20.4 and 1942.5.5 to, the Civil Code, and to amend Sections 116.223, 1161, 1161.2, 1161.2.5, 1179.02, 1179.02.5, 1179.03, 1179.03.5, and 1179.07 of, and to add Section 1179.04.5 to, the Code of Civil Procedure, relating to tenancies, and declaring the urgency thereof, to take effect immediately.",459,"Assembly Housing and Community Development",2021-01-11,"Referred to Com. on H. & C.D.",https://legiscan.com/CA/bill/AB15/2021,http://leginfo.legislature.ca.gov/faces/billStatusClient.xhtml?bill_id=202120220AB15
1385533,1791,AB16,1,Introduced,2020-12-07,"Tenancies: COVID-19 Tenant, Small Landlord, and Affordable Housing Provider Stabilization Act of 2021.","An act to add Chapter 2.9 (commencing with Section 50495) to Part 2 of Division 31 of the Health and Safety Code, relating to tenancies.",459,"Assembly Housing and Community Development",2021-01-13,"Re-referred to Com. on H. & C.D.",https://legiscan.com/CA/bill/AB16/2021,http://leginfo.legislature.ca.gov/faces/billStatusClient.xhtml?bill_id=202120220AB16
1385512,1791,AB17,1,Introduced,2020-12-07,"Peace officers: disqualification from employment.","An act to amend Section 1029 of the Government Code, and to amend Sections 832.7, 13503, 13506, 13510, and 13510.1 of, to amend the heading of Article 2 (commencing with Section 13510) of Chapter 1 of Title 4 of Part 4 of, and to add Sections 13509.5, 13510.8 and 13510.9 to, the Penal Code, relating to peace officers.",468,"Assembly Public Safety",2021-01-13,"Re-referred to Com. on PUB. S.",https://legiscan.com/CA/bill/AB17/2021,http://leginfo.legislature.ca.gov/faces/billStatusClient.xhtml?bill_id=202120220AB17
1385517,1791,AB18,1,Introduced,2020-12-07,"Sexual assault forensic evidence: testing.","An act to amend Section 680 of the Penal Code, relating to evidence.",0,,2021-05-20,"In committee: Held under submission.",https://legiscan.com/CA/bill/AB18/2021,http://leginfo.legislature.ca.gov/faces/billStatusClient.xhtml?bill_id=202120220AB18
1385504,1791,AB19,1,Introduced,2020-12-07,"Unemployment insurance compensation: COVID-19 pandemic: temporary benefits.","An act to add Section 316.5 to, and to add and repeal Sections 1026.3 and 1280.6 of, the Unemployment Insurance Code, relating to unemployment benefits, making an appropriation therefor, and declaring the urgency thereof, to take effect immediately.",461,"Assembly Insurance",2021-01-11,"Referred to Com. on INS.",https://legiscan.com/CA/bill/AB19/2021,http://leginfo.legislature.ca.gov/faces/billStatusClient.xhtml?bill_id=202120220AB19
1385578,1791,AB20,1,Introduced,2020-12-07,"Political Reform Act of 1974: campaign contributions: The Corporate-Free Elections Act.","An act to add Section 85322 to the Government Code, relating to the Political Reform Act of 1974.",4331,"Assembly Elections",2021-04-29,"In committee: Set, first hearing. Held without recommendation.",https://legiscan.com/CA/bill/AB20/2021,http://leginfo.legislature.ca.gov/faces/billStatusClient.xhtml?bill_id=202120220AB20
1385549,1791,AB21,1,Introduced,2020-12-07,"Forestry: electrical transmission and distribution lines: clearance: penalties.","An act to add Section 4293.5 to the Public Resources Code, relating to forestry.",463,"Assembly Judiciary",2021-04-08,"In committee: Set, first hearing. Hearing canceled at the request of author.",https://legiscan.com/CA/bill/AB21/2021,http://leginfo.legislature.ca.gov/faces/billStatusClient.xhtml?bill_id=202120220AB21
1385431,1791,AB22,2,Engrossed,2021-06-02,"Transitional kindergarten: enrollment: funding: planning workgroups.","An act to amend Section 48000 of, and to add Sections 42238.026 and 48004 to, the Education Code, relating to transitional kindergarten.",0,,2021-08-26,"In committee: Held under submission.",https://legiscan.com/CA/bill/AB22/2021,http://leginfo.legislature.ca.gov/faces/billStatusClient.xhtml?bill_id=202120220AB22
1385575,1791,AB23,1,Introduced,2020-12-07,"Benefits: eligibility determination: inmates.","An act to amend Section 1329 of the Unemployment Insurance Code, relating to unemployment insurance, and declaring the urgency thereof, to take effect immediately.",461,"Assembly Insurance",2021-01-11,"Referred to Coms. on INS. and P. & C.P.",https://legiscan.com/CA/bill/AB23/2021,http://leginfo.legislature.ca.gov/faces/billStatusClient.xhtml?bill_id=202120220AB23
